g1225	67593.Physo131462	0.000122	49.3	COG2801@1|root,KOG0017@2759|Eukaryota,3QBIP@4776|Peronosporales	4776|Peronosporales	L	transposition, RNA-mediated	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1,rve
g1	3218.PP1S9_101V6.1	1.8e-09	55.8	2DBXR@1|root,2S5IV@2759|Eukaryota	2759|Eukaryota	S	DDE superfamily endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	DDE_3,HTH_Tnp_Tc3_2
g5	3218.PP1S306_55V6.1	4.1e-180	511.0	COG2801@1|root,KOG0017@2759|Eukaryota,37ICX@33090|Viridiplantae,3GB7J@35493|Streptophyta	3218.PP1S306_55V6.1|-	L	Belongs to the 'GDSL' lipolytic enzyme family	-	-	-	-	-	-	-	-	-	-	-	-	-
g16	57918.XP_004293133.1	6.02e-50	180.0	28IUF@1|root,2QR5Z@2759|Eukaryota,37STI@33090|Viridiplantae,3GB85@35493|Streptophyta,4JTJK@91835|fabids	35493|Streptophyta	S	Ribosomal protein-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Plant_tran
g17	3218.PP1S161_43V6.1	4e-245	694.0	28K1Y@1|root,2QPU3@2759|Eukaryota,37Q4H@33090|Viridiplantae,3G7CG@35493|Streptophyta	35493|Streptophyta	S	bHLH-MYC and R2R3-MYB transcription factors N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	bHLH-MYC_N
g19	3218.PP1S306_59V6.2	1.83e-60	194.0	2BN68@1|root,2S1NN@2759|Eukaryota,37UTT@33090|Viridiplantae,3GI4G@35493|Streptophyta	35493|Streptophyta	S	Protein of unknown function, DUF538	-	-	-	-	-	-	-	-	-	-	-	-	DUF538
g20	3218.PP1S306_69V6.1	1.3e-147	434.0	28Q2R@1|root,2QWRG@2759|Eukaryota,37T5F@33090|Viridiplantae,3GG73@35493|Streptophyta	35493|Streptophyta	G	GDSL esterase lipase At4g10955-like	-	-	-	-	-	-	-	-	-	-	-	-	Lipase_3
g20	3218.PP1S306_69V6.1	1.73e-135	402.0	28Q2R@1|root,2QWRG@2759|Eukaryota,37T5F@33090|Viridiplantae,3GG73@35493|Streptophyta	35493|Streptophyta	G	GDSL esterase lipase At4g10955-like	-	-	-	-	-	-	-	-	-	-	-	-	Lipase_3
g22	3218.PP1S306_71V6.1	2.57e-152	437.0	COG1963@1|root,2S0HG@2759|Eukaryota,37URE@33090|Viridiplantae,3GB9F@35493|Streptophyta	35493|Streptophyta	S	Divergent PAP2 family	-	-	-	-	-	-	-	-	-	-	-	-	DUF212
g23	3218.PP1S306_80V6.1	0.0	1143.0	COG1131@1|root,KOG0061@2759|Eukaryota,37JCC@33090|Viridiplantae,3G784@35493|Streptophyta	35493|Streptophyta	Q	ABC transporter G family member	-	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031224,GO:0042623,GO:0042626,GO:0043492,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	-	ko:K05681	ko01523,ko02010,ko04976,map01523,map02010,map04976	-	-	-	ko00000,ko00001,ko02000,ko04090,ko04147	3.A.1.204	-	-	ABC2_membrane,ABC_tran
